5/8/23,AM,62
5/8/23,AM,69
5/8/23,AM,57
5/8/23,AM,61
5/8/23,AM,61
5/8/23,AM,56
5/9/23,AM,72
5/9/23,AM,66
5/9/23,AM,66
5/9/23,AM,60
5/9/23,AM,70
5/9/23,AM,67
5/10/23,AM,65
5/10/23,AM,74
5/10/23,AM,72
5/10/23,AM,70
5/10/23,AM,69
5/10/23,AM,71
5/11/23,AM,69
5/11/23,AM,80
5/11/23,AM,78
5/11/23,AM,70
5/11/23,AM,80
5/11/23,AM,68
5/12/23,AM,81
5/12/23,AM,78
5/12/23,AM,83
5/12/23,AM,71
5/12/23,AM,78
5/12/23,AM,73
5/13/23,AM,81
5/13/23,AM,80
5/13/23,AM,85
5/13/23,AM,85
5/13/23,AM,74
5/13/23,AM,77
5/14/23,AM,73
5/14/23,AM,83
5/14/23,AM,78
5/14/23,AM,79
5/14/23,AM,77
5/14/23,AM,81
5/14/23,AM,79
5/15/23,AM,71
5/15/23,AM,82
5/15/23,AM,80
5/15/23,AM,84
5/15/23,AM,85
5/15/23,AM,82
5/15/23,AM,76
5/16/23,AM,75
5/16/23,AM,81
5/16/23,AM,83
5/16/23,AM,81
5/16/23,AM,80
5/16/23,AM,75
5/17/23,AM,80
5/17/23,AM,77
5/17/23,AM,82
5/17/23,AM,83
5/17/23,AM,80
5/17/23,AM,82
5/17/23,AM,87
5/17/23,AM,76
5/30/23,AM,78
5/30/23,AM,87
5/30/23,AM,81
5/30/23,AM,88
5/30/23,AM,83
5/30/23,AM,78
