,PM,69
6/17/23,AM,87
6/17/23,AM,73
6/17/23,AM,72
6/17/23,AM,77
6/17/23,AM,76
6/17/23,AM,84
6/17/23,AM,83
6/17/23,AM,91
6/17/23,AM,75
6/17/23,AM,85
6/17/23,AM,76
6/17/23,AM,64
6/17/23,AM,80
6/17/23,AM,77
