5/8/23,AM,48
5/8/23,AM,43
5/8/23,AM,33
5/8/23,AM,53
5/8/23,AM,45
5/8/23,AM,51
5/9/23,AM,54
5/9/23,AM,57
5/9/23,AM,48
5/9/23,AM,52
5/9/23,AM,51
5/9/23,AM,53
5/10/23,AM,62
5/10/23,AM,60
5/10/23,AM,58
5/10/23,AM,48
5/10/23,AM,62
5/10/23,AM,62
5/11/23,AM,60
5/11/23,AM,62
5/11/23,AM,62
5/11/23,AM,60
5/11/23,AM,61
5/11/23,AM,64
5/12/23,AM,67
5/12/23,AM,61
5/12/23,AM,65
5/12/23,AM,60
5/12/23,AM,67
5/12/23,AM,63
5/13/23,AM,69
5/13/23,AM,68
5/13/23,AM,64
5/13/23,AM,62
5/13/23,AM,71
5/13/23,AM,70
5/14/23,AM,69
5/14/23,AM,71
5/14/23,AM,68
5/14/23,AM,72
5/14/23,AM,69
5/14/23,AM,69
5/15/23,AM,71
5/15/23,AM,69
5/15/23,AM,78
5/15/23,AM,73
5/15/23,AM,68
5/15/23,AM,79
5/16/23,AM,76
5/16/23,AM,67
5/16/23,AM,73
5/16/23,AM,72
5/16/23,AM,73
5/16/23,AM,72
5/17/23,AM,68
5/17/23,AM,73
5/17/23,AM,79
5/17/23,AM,69
5/17/23,AM,72
5/17/23,AM,75
5/30/23,AM,70
5/30/23,AM,68
5/30/23,AM,75
5/30/23,AM,81
5/30/23,AM,76
5/30/23,AM,79
